question,q_len_chars,q_len_words,q_wh_type
The fall of the Berlin Wall began on November 9th in what year?,63,13,year
"In what year did the Suez Crisis, also known as the Tripartite Aggression, take place?",86,15,year
"To within two years either way, when did Rupert Bear first appear in the Daily Express?",87,16,when
In which year was Hong Kong handed back to the Chinese government?,66,12,which
"The Bible, Which psalm begins “The Lord is my shepherd …”?",58,11,which
In which year was the Maastricht treaty signed? (It came into force a year later.),82,15,which
In which year did the USSR bring the dogs Belka and Strelka home safe from space?,81,16,which
Which number in Pennsylvania Avenue is The White House?,55,9,which
"In which year was the TUC formed at a meeting in Manchester? Was it 1868, 1889 or 1901?",87,18,which
"In the poetic form, the sonnet, how many lines are there?",57,11,quantity
"Measurement - conversion from imperial to metric - How many metres are equivalent to one furlong, to the nearest unit? (will accept + or - 1)",141,26,quantity
Measurement - conversion from imperial to metric - How many kilograms to the nearest unit are equivalent to 1 hundredweight? (will accept + or - 1),147,26,quantity
In which year did the novelists George Bernard Shaw and George Orwell die? (Will accept plus or minus one year),111,20,which
In which year did the novelists Mark Twain and Leo Tolstoy die? (will accept plus or minus one year),100,19,which
"It is the Queen's Diamond Jubilee this year, having acceded to the throne on Feb 6th 1952. In which year will she become the longest reigning monarch, breaking the record set by Queen Victoria in 1901?",201,36,which
In which year was the battle of the Alamo?,42,9,which
In which year did Bjorn Borg become Men's Singles champion at Wimbledon for the first time?,91,16,which
In which year did Steve Davis win his first World Professional Snooker championship title?,90,14,which
How many carats are there in pure gold?,39,8,quantity
In which year did Shakespeare die?,34,6,which
"Name the year - The Manchester Metrolink officially opens, Windsor Castle is badly damaged by fire, Gary Lineker is voted Football Writers Player of the Year and 'Stay' by Shakespeare's Sister reaches number one in the British pop charts.",238,39,other
"Which year of the 20th century saw the deaths of Matt Busby, John Curry, Fanny Craddock and Richard Nixon?",106,19,which
"Which year of the 20th century saw the deaths of Linda McCartney, Frank Sinatra, Catherine Cookson and Justin Fashanu?",118,19,which
In what year was the first Eurovision Song Contest held ?,57,11,year
In what year was the first BBC Sports Personality if theYear held ?,67,13,year
How many times per second does mains electricity change from positive to negative ?,83,14,quantity
Reggae superstar Bob Marley died in which year?,47,8,which
"Because of an uprising that began in France and quickly spread to Italy, the Austrian Empire and Germany, which year of the 19'th century became known as the ' Year of Revolutions ' ?",183,34,which
In which year did the Peterloo Massacre take place ?,52,10,which
What is the sum of the interior angles of a pentagon ?,54,12,what
Name the Year: The musical My Fair Lady has its first performance on Broadway ; Elvis Presley has his first U.K. hit.,117,22,other
Which year saw the birth of the sextuplets 'The Waltons'?,57,10,which
Which year saw the SAS storm the Iranian Embassy in London ?,60,12,which
"Name the year - flash floods badly damage the Cornish village of Boscastle, a 'Fathers for Justice' campaigne, dressed as Batman, breaches security at Buckingham Palace and footballer Emlyn Hughes and DJ John Peel sadly die.",224,36,other
"Name the year - Prince Edward leaves the Marines just three months after joining, the book Spycatcher is released, race riots break out in the Chapeltown area of Leeds and the Pet Shop Boys reach number 1 in the UK charts with the record 'It's a Sin' ?",252,48,area
"Name the year - Anna Ford becomes the first female news reader on ITV, the charity Motability is founded, Bulgarian dissident Geogi Markov is killed with a poison tipped umbrella and Althea and Donna reach number 1 in the UK charts with 'Uptown Ranking' ?",255,45,other
The 'Thought Police' feature in whic famous novel of 1949?,58,10,other
Which year of the 20th century saw the British General Strike?,62,11,which
In which year were One Pound coins introduced?,46,8,which
In which year did the Bank of England 10 shilling note cease to be legal tender?,80,16,which
"In Troy weight , how many grains are there in a pennyweight ?",61,13,quantity
How many gills are there in half a gallon?,42,9,quantity
In which year did Argentina's Maradona score his infamous 'hand of God' goal?,77,13,which
In which year did Napoelon's troops capture Moscow ?,52,9,which
In which year did rank outsider Foinavon unexpectedly win the Grand National?,77,12,which
In which year was the Butler Education Act passed ?,51,10,which
In which year was the Open University founded ?,47,9,which
"Which year saw the kidnap of the racehorse Shergar, the introduction of the TV gameshow Blockbusters and the deaths of David Niven and Violet Carson ?",150,26,which
"Which year saw Frankie Detori famously win all six races on the card at Ascot, the introduction Of the TV gameshow Never Mind The Buzzcocks and the deaths of Jon Pertwee and Peter Swales ?",188,35,which
Which is the next prime number that is greater than 75 ?,56,12,which
Which is the next prime number that is greater than 90 ?,56,12,which
In which year was corporal punishment officially banned in British State Schools ?,82,13,which
Which year of the 20th century saw the Iranian Embassy siege in London ?,72,14,which
Which year of the 20th century saw the Chernobyl disaster ?,59,11,which
Which Peugeot model won the award for European Car Of The Year in 1988 ?,72,15,which
"In which calendar year did the following events all take place: Alfred Hitchcock died, Ronald Reagan was elected as President of the USA, and the Summer Olympic Games were held in Moscow ?",188,33,which
How many cards are there in a typical tarot pack ?,50,11,quantity
In which year was the pound coin introduced to replace the Bank of England £1 banknote ?,88,17,which
"On October 1st of which year did Ford put its first Model T on sale ? Was it 1898, 1908 or 1918 ?",97,23,which
In which year were TV licences introduced in the UK?,52,10,which
In which year (or decade) were luncheon vouchers introduced in the UK?,70,12,which
In which year did the ocean liner the QE2 make her maiden voyage?,65,13,which
What number is a hurricane-force storm on the conventional Beaufort Wind Force Scale?,85,13,what
"In what year was England ruled (technically) by kings called Edward, Harold, Edgar and William, in that order?",110,18,year
"A Munro, of which there are 283, is a Scottish mountain which is over how many feet high?",89,18,quantity
How many pieces are on the board at the start of a game of chess?,65,15,quantity
How many presidents of France had there been as at 2010? 7; 12; 23; or 35?,74,16,quantity
How many players are (on the field) in a men's lacrosse team (one team not both teams)?,87,17,quantity
"In the conventional western musical scale there are how many notes including sharps and flats, excluding those which repeat in a different octave?",146,23,quantity
In the Imperial Measurement system how many pounds are in a stone?,66,12,quantity
What number Pennsylvania Avenue is the Whitehouse?,50,7,what
How many fences (not the number of times they are jumped) are on the Aintree Grand National race course?,104,19,quantity
In which year were Concorde planes retired from service?,56,9,which
In which year did Morocco gain its independence from France?,60,10,which
Holes in a standard round of golf?,34,7,other
Total dots on a die?,20,5,other
Total of the sides on a pentagon and a heptagon?,48,10,other
